emotion,corner_img_val
ANGRY,24
ANGRY,31
ANGRY,20
ANGRY,17
ANGRY,26
ANGRY,19
ANGRY,21
ANGRY,29
ANGRY,21
ANGRY,21
ANGRY,16
ANGRY,22
ANGRY,23
ANGRY,21
ANGRY,25
ANGRY,23
ANGRY,22
ANGRY,36
ANGRY,24
ANGRY,19
ANGRY,21
ANGRY,19
ANGRY,28
ANGRY,24
ANGRY,23
DISGUST,16
DISGUST,29
DISGUST,14
DISGUST,19
DISGUST,23
DISGUST,27
DISGUST,19
DISGUST,24
DISGUST,25
DISGUST,23
DISGUST,26
DISGUST,19
DISGUST,25
DISGUST,18
DISGUST,26
DISGUST,26
DISGUST,27
DISGUST,23
DISGUST,21
DISGUST,25
DISGUST,20
DISGUST,30
DISGUST,25
DISGUST,24
DISGUST,22
FEAR,28
FEAR,29
FEAR,19
FEAR,22
FEAR,27
FEAR,26
FEAR,21
FEAR,20
FEAR,18
FEAR,25
FEAR,27
FEAR,23
FEAR,24
FEAR,23
FEAR,28
FEAR,20
FEAR,20
FEAR,13
FEAR,27
FEAR,26
FEAR,25
FEAR,22
FEAR,24
FEAR,21
FEAR,24
HAPPY,30
HAPPY,22
HAPPY,21
HAPPY,24
HAPPY,18
HAPPY,22
HAPPY,21
HAPPY,21
HAPPY,28
HAPPY,17
HAPPY,16
HAPPY,22
HAPPY,23
HAPPY,19
HAPPY,19
HAPPY,26
HAPPY,21
HAPPY,20
HAPPY,28
HAPPY,24
HAPPY,22
HAPPY,25
HAPPY,25
HAPPY,21
HAPPY,24
NEUTRAL,23
NEUTRAL,28
NEUTRAL,24
NEUTRAL,17
NEUTRAL,24
NEUTRAL,16
NEUTRAL,24
NEUTRAL,29
NEUTRAL,26
NEUTRAL,26
NEUTRAL,16
NEUTRAL,25
NEUTRAL,13
NEUTRAL,23
NEUTRAL,26
NEUTRAL,22
NEUTRAL,19
NEUTRAL,24
NEUTRAL,18
NEUTRAL,31
NEUTRAL,21
NEUTRAL,21
NEUTRAL,28
NEUTRAL,19
NEUTRAL,21
SAD,26
SAD,19
SAD,25
SAD,22
SAD,26
SAD,20
SAD,15
SAD,17
SAD,29
SAD,27
SAD,25
SAD,20
SAD,28
SAD,26
SAD,28
SAD,24
SAD,17
SAD,24
SAD,26
SAD,19
SAD,21
SAD,25
SAD,25
SAD,20
SAD,17
SURPRISE,18
SURPRISE,26
SURPRISE,15
SURPRISE,24
SURPRISE,25
SURPRISE,20
SURPRISE,20
SURPRISE,21
SURPRISE,24
SURPRISE,25
SURPRISE,19
SURPRISE,20
SURPRISE,15
SURPRISE,14
SURPRISE,18
SURPRISE,16
SURPRISE,22
SURPRISE,30
SURPRISE,22
SURPRISE,23
SURPRISE,18
SURPRISE,22
SURPRISE,33
SURPRISE,21
SURPRISE,27
